"att1","att2","att3","att4","att5","att6","att7","att8","att9","outlier"
49,-1,81,0,46,-24,33,35,2,"no"
53,0,103,0,54,28,50,49,0,"no"
56,0,78,0,26,7,22,52,30,"no"
45,0,82,0,46,10,37,35,0,"no"
56,0,77,0,-2,8,21,79,58,"no"
85,0,88,3,2,0,3,86,82,"no"
37,0,77,0,18,13,40,59,18,"no"
47,3,82,-1,46,0,34,35,0,"no"
48,-4,85,0,46,0,37,39,2,"no"
42,1,102,0,42,0,60,61,2,"no"
37,-84,106,0,34,0,69,72,4,"no"
47,1,107,0,46,0,59,60,0,"no"
52,0,82,-2,52,0,29,30,0,"no"
50,-5,86,-2,50,-4,36,37,0,"no"
47,3,78,-6,46,0,31,32,0,"no"
37,0,105,-2,30,2,68,74,6,"no"
51,0,84,0,50,-7,33,35,2,"no"
55,0,79,-4,20,0,24,59,34,"no"
54,-1,87,0,54,0,33,33,0,"no"
45,2,88,0,44,-1,42,44,2,"no"
37,0,97,0,26,-30,60,71,12,"no"
45,-1,77,0,44,-16,32,34,2,"no"
41,1,76,0,42,3,34,34,0,"no"
41,0,88,0,42,2,47,47,0,"no"
37,0,107,0,28,-4,70,78,8,"no"
55,0,93,0,12,3,37,80,42,"no"
37,0,76,0,26,29,39,50,12,"no"
37,0,79,0,34,0,41,45,4,"no"
44,0,79,0,42,-23,35,37,2,"no"
37,0,77,0,16,19,40,61,22,"no"
79,-4,83,-2,-32,509,4,117,112,"no"
37,0,77,0,-20,27,41,98,58,"no"
37,0,78,0,20,-21,42,57,16,"no"
55,0,93,3,54,0,37,39,2,"no"
55,0,95,2,36,-19,40,59,20,"no"
55,0,77,0,-28,22,22,106,84,"no"
49,-1,89,0,50,19,40,40,0,"no"
45,0,79,0,44,-6,33,35,2,"no"
41,3,78,0,38,-27,37,39,2,"no"
37,0,76,1,26,10,39,50,12,"no"
105,-2,107,-4,70,0,2,37,36,"no"
52,4,82,3,52,0,30,30,0,"no"
56,0,95,0,42,4,40,54,14,"no"
51,-1,79,0,50,-8,28,30,2,"no"
52,0,91,0,52,0,38,39,0,"no"
37,0,77,0,38,22,40,39,0,"no"
55,6,77,0,-22,0,23,101,78,"no"
37,-2,104,0,20,-30,67,83,16,"no"
37,0,100,0,28,0,64,72,8,"no"
41,0,75,0,38,-26,34,36,2,"no"
44,1,85,0,44,0,41,41,0,"no"
56,0,99,-2,50,0,43,50,6,"no"
37,-1,79,3,0,0,42,79,36,"no"
55,0,78,0,6,21,23,73,50,"no"
56,0,81,0,-6,-1,25,88,64,"no"
48,0,86,8,46,0,38,40,2,"no"
59,3,108,0,56,-23,49,51,2,"no"
49,0,86,2,46,-15,38,40,2,"no"
55,0,93,0,46,-27,37,46,8,"no"
37,0,106,0,28,-15,68,77,8,"no"
55,0,87,3,54,0,32,33,0,"no"
53,-3,104,0,54,0,50,49,0,"no"
55,0,95,0,54,24,40,41,2,"no"
37,0,81,3,36,0,43,44,2,"no"
49,0,86,0,46,-17,37,39,2,"no"
44,0,75,0,42,-24,31,34,2,"no"
55,0,77,0,10,-25,21,66,46,"no"
85,0,89,5,2,0,4,86,82,"no"
38,1,77,1,38,17,39,38,0,"no"
43,0,86,0,44,19,42,42,0,"no"
37,0,83,0,30,-9,46,52,6,"no"
37,0,104,-6,34,0,67,71,4,"no"
43,0,81,0,42,0,38,40,2,"no"
46,0,84,2,46,0,38,37,0,"no"
44,0,76,-1,44,5,32,32,0,"no"
38,1,103,2,34,0,65,69,4,"no"
46,0,77,0,44,-22,31,33,2,"no"
42,0,79,-5,42,0,37,38,0,"no"
37,-1,78,8,0,7,41,78,36,"no"
37,0,77,7,34,-6,41,44,2,"no"
46,0,85,0,46,0,39,39,0,"no"
37,0,78,0,20,7,41,57,16,"no"
37,0,81,0,30,-5,45,50,6,"no"
46,5,89,0,46,8,43,42,0,"no"
55,0,77,0,-20,-18,21,97,76,"no"
55,5,77,0,54,0,22,23,0,"no"
37,0,77,0,34,-19,40,43,4,"no"
37,0,96,0,16,-27,59,81,22,"no"
48,0,89,-2,46,-4,41,42,2,"no"
48,3,102,0,46,0,53,55,2,"no"
53,4,81,-1,54,6,28,27,0,"no"
41,0,108,-4,42,18,66,66,0,"no"
45,0,76,-1,44,-1,31,32,2,"no"
55,0,78,6,24,0,23,55,32,"no"
77,4,81,0,-42,0,4,125,120,"no"
54,-5,83,0,54,0,29,29,0,"no"
37,0,79,0,36,9,43,43,0,"no"
81,0,84,0,-24,0,4,110,106,"no"
37,0,93,0,10,-12,56,83,28,"no"
55,0,95,0,38,4,40,57,16,"no"
42,0,75,0,42,0,32,34,2,"no"
37,0,80,2,26,0,43,54,10,"no"
37,-1,82,0,36,-19,45,46,2,"no"
37,0,77,0,-20,10,41,98,58,"no"
48,0,77,-1,46,0,29,31,2,"no"
55,0,78,0,6,-19,23,73,50,"no"
45,0,106,-1,44,0,61,62,2,"no"
56,2,98,0,46,26,42,51,10,"no"
37,2,79,6,0,0,42,79,38,"no"
39,-4,106,0,38,0,66,67,0,"no"
43,0,79,-2,42,0,36,37,2,"no"
56,4,98,0,52,10,42,46,4,"no"
37,0,90,0,26,1,52,64,12,"no"
43,-1,87,0,42,-7,44,46,2,"no"
37,0,78,0,16,-3,42,63,22,"no"
45,0,77,0,44,-1,32,33,0,"no"
45,-4,88,0,46,14,42,41,0,"no"
37,0,77,6,28,17,41,49,8,"no"
53,0,81,0,52,-25,28,29,2,"no"
39,2,102,0,38,0,63,63,0,"no"
41,5,77,0,42,17,36,35,0,"no"
57,1,87,0,56,0,30,30,0,"no"
42,-2,76,1,42,0,34,35,0,"no"
53,0,86,0,52,-21,32,34,2,"no"
56,0,76,0,-12,5,20,89,68,"no"
46,-1,86,0,46,0,40,40,0,"no"
45,-2,86,0,44,-20,40,42,2,"no"
56,0,86,0,54,-30,31,32,2,"no"
47,0,77,1,46,0,29,30,0,"no"
46,0,81,7,46,3,35,34,0,"no"
37,0,80,0,10,11,43,70,26,"no"
79,0,84,0,-36,-1471,4,120,116,"no"
37,0,106,0,28,5,68,77,8,"no"
51,0,90,0,52,5,38,38,0,"no"
43,0,86,8,42,-8,43,45,2,"no"
37,0,77,0,6,-18,40,72,32,"no"
40,2,93,0,38,0,53,55,2,"no"
56,1,89,0,56,0,33,32,0,"no"
40,4,77,0,38,0,37,38,2,"no"
37,0,106,0,24,-20,68,82,14,"no"
46,0,90,0,46,6,44,44,0,"no"
50,2,91,0,50,0,41,42,0,"no"
41,4,79,0,38,-22,38,41,2,"no"
44,1,82,-3,44,0,38,38,0,"no"
55,1,77,-2,44,0,22,34,12,"no"
56,0,77,0,44,-21,22,34,12,"no"
56,0,93,-5,50,0,38,44,6,"no"
48,-2,89,0,46,0,41,42,2,"no"
44,0,86,1,42,-27,43,45,2,"no"
43,0,99,0,42,-1,56,58,2,"no"
41,-3,82,1,42,0,41,41,0,"no"
41,1,78,0,38,0,37,39,2,"no"
41,-2,79,0,38,-9,38,40,2,"no"
48,0,77,0,46,-1,28,30,2,"no"
55,0,82,0,-40,-19,26,123,96,"no"
56,0,77,0,-2,12,21,79,58,"no"
37,0,77,0,2,-20,40,74,34,"no"
46,0,76,4,46,1,30,30,0,"no"
55,-1,78,-4,8,-10,23,70,48,"no"
55,0,77,0,-18,-21,21,95,74,"no"
70,-29,107,0,60,-10,37,47,10,"no"
51,4,82,0,50,0,31,33,2,"no"
77,0,81,0,-42,0,4,125,122,"no"
44,1,93,0,44,4,50,50,0,"no"
51,-4,90,0,50,-17,39,41,2,"no"
37,0,83,0,0,-6,46,83,36,"no"
42,-2,82,0,42,0,40,41,0,"no"
41,1,79,0,42,14,38,38,0,"no"
45,-1,85,1,44,0,40,41,2,"no"
37,0,95,-2,16,-3,58,80,22,"no"
37,0,104,0,28,14,67,75,8,"no"
37,0,84,0,28,-5,47,55,8,"no"
45,5,90,0,44,0,45,46,0,"no"
37,0,76,0,20,0,40,55,16,"no"
42,-1,80,-4,42,-6,38,39,0,"no"
106,3,108,2,72,5,1,35,34,"no"
37,0,79,0,8,2,42,71,28,"no"
37,0,78,0,12,28,41,65,24,"no"
55,0,97,0,50,-8,41,48,6,"no"
37,0,77,0,6,6,40,72,32,"no"
41,0,79,-2,42,0,38,37,0,"no"
44,0,87,-7,44,0,43,43,0,"no"
55,0,95,0,54,6,40,41,2,"no"
44,0,86,0,42,-28,42,44,2,"no"
49,0,90,0,50,4,42,41,0,"no"
50,0,87,1,50,0,37,38,0,"no"
39,5,85,0,38,0,46,46,0,"no"
37,0,77,6,28,-19,41,49,8,"no"
37,0,81,-6,-4,0,45,86,42,"no"
37,-5,79,4,36,0,42,43,0,"no"
37,0,80,-1,8,0,43,72,28,"no"
52,-1,82,0,52,0,29,30,0,"no"
38,0,81,0,36,-29,43,45,2,"no"
83,0,86,0,-2,21,4,89,86,"no"
44,3,83,-3,42,-19,39,41,2,"no"
45,5,75,0,44,0,30,31,0,"no"
56,-2,96,-1,52,0,40,44,4,"no"
37,0,79,0,20,1,42,58,16,"no"
41,1,83,0,38,-6,42,44,2,"no"
48,-4,84,0,46,0,37,38,2,"no"
41,0,83,0,42,4,41,41,0,"no"
42,-4,86,0,42,0,44,44,0,"no"
41,4,83,5,38,-4,42,44,2,"no"
48,2,77,0,46,0,29,30,2,"no"
49,3,82,0,50,0,33,33,0,"no"
47,1,83,7,46,0,37,37,0,"no"
37,0,75,5,24,-2,38,52,14,"no"
37,0,77,-1,38,16,39,38,0,"no"
45,-1,78,0,44,0,34,34,0,"no"
48,-1,86,0,46,0,39,40,2,"no"
37,0,78,-3,0,0,42,78,36,"no"
45,-1,77,0,44,-8,31,33,2,"no"
37,-9,77,0,20,0,40,56,16,"no"
56,0,84,0,56,0,29,28,0,"no"
46,0,84,0,46,2,38,37,0,"no"
41,0,78,0,42,26,37,37,0,"no"
37,0,80,-1,36,-4,43,44,2,"no"
55,-1,80,0,-4,5,25,85,60,"no"
46,4,102,0,46,8,57,56,0,"no"
51,0,78,0,52,4,27,26,0,"no"
55,0,97,4,42,0,41,55,14,"no"
56,1,97,0,56,13,40,40,0,"no"
37,0,78,0,2,-1,41,75,34,"no"
44,0,81,7,42,-7,37,39,2,"no"
47,4,84,0,46,0,38,38,0,"no"
60,0,108,-1,60,0,49,49,0,"no"
37,0,80,0,34,8,43,46,4,"no"
37,0,97,0,28,6,60,69,8,"no"
45,-1,88,-1,44,12,43,44,2,"no"
47,1,90,0,46,0,43,43,0,"no"
41,-1,75,0,42,15,34,34,0,"no"
37,0,108,-12,28,0,71,80,8,"no"
55,0,77,0,28,10,22,49,26,"no"
37,0,104,-1,20,27,67,84,16,"no"
37,0,76,1,28,-3,39,47,8,"no"
41,0,88,4,38,-8,47,49,2,"no"
41,-5,97,0,42,0,56,56,0,"no"
52,-1,81,0,52,-2,28,29,0,"no"
37,1,75,-2,20,0,38,54,16,"no"
81,0,86,0,-24,-15,4,112,108,"no"
37,0,79,0,8,-14,42,71,28,"no"
46,4,79,0,46,12,33,32,0,"no"
45,0,86,-3,44,0,40,42,2,"no"
56,0,95,0,44,11,40,51,12,"no"
55,0,93,0,42,-20,37,51,14,"no"
37,0,76,0,34,0,38,42,4,"no"
37,0,77,0,8,0,40,69,30,"no"
45,-1,77,0,44,-15,32,34,2,"no"
37,0,77,0,-6,22,41,85,44,"no"
42,0,84,-6,42,0,41,43,2,"no"
37,0,77,0,36,-19,39,41,2,"no"
41,0,77,0,38,-25,36,38,2,"no"
41,4,77,0,38,-25,36,39,2,"no"
37,0,104,0,20,2,67,84,16,"no"
43,0,87,2,42,-7,44,46,2,"no"
53,0,81,1,54,19,28,26,0,"no"
37,0,95,0,10,0,58,85,28,"no"
38,0,92,0,18,5,54,74,20,"no"
45,-2,79,0,46,13,33,32,0,"no"
56,3,77,0,-24,0,21,103,82,"no"
37,0,105,0,36,12,68,69,2,"no"
46,1,78,0,46,13,32,32,0,"no"
42,4,82,0,42,0,40,41,0,"no"
37,0,81,0,24,-2,44,57,14,"no"
41,0,77,0,38,-30,36,38,2,"no"
83,0,86,0,-4,15,3,92,88,"no"
55,0,98,5,50,0,42,49,6,"no"
46,0,88,2,46,6,41,41,0,"no"
46,-1,78,-2,46,0,32,32,0,"no"
37,0,77,-1,28,0,40,48,8,"no"
56,0,92,0,56,16,36,35,0,"no"
37,0,77,2,-2,0,39,79,40,"no"
37,0,77,8,36,-26,39,41,2,"no"
37,0,79,0,10,0,42,69,26,"no"
41,-5,81,0,38,-30,40,43,2,"no"
43,-2,81,0,42,0,38,39,2,"no"
57,-5,88,6,56,0,32,31,0,"no"
59,0,86,-1,56,-11,28,30,2,"no"
52,3,84,0,52,0,32,33,0,"no"
48,0,81,7,46,0,33,34,2,"no"
48,0,83,0,46,-3,35,37,2,"no"
46,0,82,0,46,3,36,35,0,"no"
51,1,79,1,52,9,27,27,0,"no"
47,-4,86,0,46,0,38,39,0,"no"
56,0,77,0,12,0,22,65,42,"no"
38,3,79,0,38,0,41,41,0,"no"
55,0,96,0,46,1,41,50,8,"no"
56,0,85,0,56,12,29,28,0,"no"
41,5,79,0,42,14,38,38,0,"no"
44,2,78,0,44,0,34,34,0,"no"
55,-4,89,0,54,0,34,35,0,"no"
48,-1,86,-3,46,-5,39,40,2,"no"
43,1,88,-1,42,0,45,47,2,"no"
48,-3,110,0,46,-3,62,64,2,"no"
56,0,86,0,56,12,30,29,0,"no"
51,0,84,0,50,-26,33,35,2,"no"
53,-2,79,0,54,14,26,24,0,"no"
37,0,76,-3,34,25,39,42,2,"no"
55,0,77,0,28,5,21,48,28,"no"
41,0,81,0,42,6,40,40,0,"no"
